I260425 15:27:17.745382 826 util/log/file_sync_buffer.go:237 ⋮ [config]   file created at: 2026/04/25 15:27:17
I260425 15:27:17.745391 826 util/log/file_sync_buffer.go:237 ⋮ [config]   running on machine: ‹ip-172-31-60-74›
I260425 15:27:17.745404 826 util/log/file_sync_buffer.go:237 ⋮ [config]   binary: CockroachDB CCL v26.3.0-alpha.00000000-dev (linux amd64, built , go1.26.2)
I260425 15:27:17.745413 826 util/log/file_sync_buffer.go:237 ⋮ [config]   arguments: [‹./cockroach› ‹start› ‹--insecure› ‹--listen-addr=localhost:26258› ‹--http-addr=localhost:8081› ‹--store=/mnt/crdb2› ‹--join=localhost:26257,localhost:26258,localhost:26259› ‹--log-dir=/home/ubuntu/cockroach/pkg/kv/kvserver/bench_tier_a/phase2_scenario1_results/run-20260425-141417/ssd-slow/logs/node2›]
I260425 15:27:17.745439 826 util/log/file_sync_buffer.go:237 ⋮ [config]   log format (utf8=✓): crdb-v2
I260425 15:27:17.745444 826 util/log/file_sync_buffer.go:237 ⋮ [config]   line format: [IWEF]yymmdd hh:mm:ss.uuuuuu goid [chan@]file:line redactionmark \[tags\] [counter] msg
I260425 15:27:17.745271 826 15@kv/kvserver/kvstorage/init.go:292 ⋮ [T1,Vsystem,n3,s3] 1  beginning range descriptor iteration
I260425 15:27:17.745576 826 15@kv/kvserver/kvstorage/init.go:419 ⋮ [T1,Vsystem,n3,s3] 2  range descriptor iteration done: 0 range descriptors, 0 intents, 0 tombstones; stats: ‹seeked 2 times (2 internal); stepped 0 times (0 internal)›
I260425 15:27:17.745613 826 15@kv/kvserver/kvstorage/init.go:604 ⋮ [T1,Vsystem,n3,s3] 3  loaded state for 0/0 replicas
I260425 15:27:17.745625 826 15@kv/kvserver/kvstorage/init.go:629 ⋮ [T1,Vsystem,n3,s3] 4  loaded 0 replicas
I260425 15:27:17.745632 826 15@kv/kvserver/kvstorage/init.go:666 ⋮ [T1,Vsystem,n3,s3] 5  verified 0/0 replicas
I260425 15:27:17.745643 826 15@kv/kvserver/store.go:2379 ⋮ [T1,Vsystem,n3,s3] 6  initialized 0/0 replicas
I260425 15:27:17.991213 931 15@kv/kvserver/storeliveness/supporter_state.go:319 ⋮ [T1,Vsystem,n3,s3] 7  provided support for store {NodeID:1 StoreID:1}; old = {Target:{NodeID:1 StoreID:1} Epoch:0 Expiration:0,0}, new = {Target:{NodeID:1 StoreID:1} Epoch:1 Expiration:1777130840.941481684,0}
I260425 15:27:18.063391 1271 15@kv/kvserver/replica_raftstorage.go:572 ⋮ [T1,Vsystem,n3,s3,r21/2:/Table/1{7-8}] 8  applied snapshot 6a264b2b from (n1,s1):1 at applied index 16 as write (total=13ms data=656 B excise=true ingestion=5@13ms)
I260425 15:27:18.493484 1325 15@kv/kvserver/replica_raftstorage.go:572 ⋮ [T1,Vsystem,n3,s3,r2/2:/{Meta2-System/NodeL…}] 9  applied snapshot 9d987144 from (n1,s1):1 at applied index 24 as write (total=14ms data=3.5 KiB excise=true ingestion=5@14ms)
I260425 15:27:19.587915 1459 15@kv/kvserver/replica_raftstorage.go:572 ⋮ [T1,Vsystem,n3,s3,r4/2:/System/{NodeLive…-tsd}] 10  applied snapshot 6d59db95 from (n1,s1):1 at applied index 25 (total=120ms data=664 KiB excise=true ingestion=6@92ms)
I260425 15:27:20.244275 1452 15@kv/kvserver/replica_raftstorage.go:572 ⋮ [T1,Vsystem,n3,s3,r7/2:/Table/{0-3}] 11  applied snapshot 58c872f2 from (n1,s1):1 at applied index 15 as write (total=16ms data=656 B excise=true ingestion=5@16ms)
I260425 15:27:20.867271 1281 15@kv/kvserver/replica_raftstorage.go:572 ⋮ [T1,Vsystem,n3,s3,r24/2:/Table/2{0-1}] 12  applied snapshot 6518798f from (n1,s1):1 at applied index 15 as write (total=32ms data=656 B excise=true ingestion=5@31ms)
I260425 15:27:21.162607 1813 15@kv/kvserver/replica_raftstorage.go:572 ⋮ [T1,Vsystem,n3,s3,r1/2:/M{in-eta2}] 13  applied snapshot 7ffba427 from (n1,s1):1 at applied index 19 as write (total=29ms data=766 B excise=true ingestion=5@29ms)
I260425 15:27:22.016487 1820 15@kv/kvserver/replica_raftstorage.go:572 ⋮ [T1,Vsystem,n3,s3,r14/2:/Table/{9-11}] 14  applied snapshot 5b90453d from (n1,s1):1 at applied index 15 as write (total=18ms data=656 B excise=true ingestion=5@17ms)
I260425 15:27:22.307823 931 15@kv/kvserver/storeliveness/support_manager.go:331 ⋮ [T1,Vsystem,n3,s3] 15  starting to heartbeat store {NodeID:1 StoreID:1}
I260425 15:27:22.307866 931 15@kv/kvserver/storeliveness/support_manager.go:331 ⋮ [T1,Vsystem,n3,s3] 16  starting to heartbeat store {NodeID:3 StoreID:3}
I260425 15:27:22.359152 1047 15@kv/kvserver/kvserverbase/forced_error.go:87 ⋮ [T1,Vsystem,n3,s3,r4/2:/System/{NodeLive…-tsd},raft] 17  rejected lease request repl=(n3,s3):2 seq=2 start=1777130842.240350322,0 type=LeaseExpiration exp=1777130848.272405032,0 pro=1777130842.272405032,0 acq=Request; current lease repl=(n3,s3):2 seq=2 start=1777130842.240350322,0 type=LeaseExpiration exp=1777130848.272405032,0 pro=1777130842.272405032,0 acq=Request; err: cannot replace lease repl=(n3,s3):2 seq=2 start=1777130842.240350322,0 type=LeaseExpiration exp=1777130848.272405032,0 pro=1777130842.272405032,0 acq=Request with repl=(n3,s3):2 seq=2 start=1777130842.240350322,0 type=LeaseExpiration exp=1777130848.272405032,0 pro=1777130842.272405032,0 acq=Request: ‹proposed under invalid lease›
I260425 15:27:22.375327 931 15@kv/kvserver/storeliveness/supporter_state.go:319 ⋮ [T1,Vsystem,n3,s3] 18  provided support for store {NodeID:3 StoreID:3}; old = {Target:{NodeID:3 StoreID:3} Epoch:0 Expiration:0,0}, new = {Target:{NodeID:3 StoreID:3} Epoch:1 Expiration:1777130845.307872902,0}
I260425 15:27:22.391112 931 15@kv/kvserver/storeliveness/requester_state.go:425 ⋮ [T1,Vsystem,n3,s3] 19  received support from store {NodeID:3 StoreID:3}; old = {Target:{NodeID:3 StoreID:3} Epoch:1 Expiration:0,0}, new = {Target:{NodeID:3 StoreID:3} Epoch:1 Expiration:1777130845.307872902,0}
I260425 15:27:22.417137 931 15@kv/kvserver/storeliveness/support_manager.go:331 ⋮ [T1,Vsystem,n3,s3] 20  starting to heartbeat store {NodeID:2 StoreID:2}
I260425 15:27:22.450074 931 15@kv/kvserver/storeliveness/requester_state.go:425 ⋮ [T1,Vsystem,n3,s3] 21  received support from store {NodeID:1 StoreID:1}; old = {Target:{NodeID:1 StoreID:1} Epoch:1 Expiration:0,0}, new = {Target:{NodeID:1 StoreID:1} Epoch:1 Expiration:1777130845.307872902,0}
I260425 15:27:22.548893 931 15@kv/kvserver/storeliveness/requester_state.go:425 ⋮ [T1,Vsystem,n3,s3] 22  received support from store {NodeID:2 StoreID:2}; old = {Target:{NodeID:2 StoreID:2} Epoch:1 Expiration:0,0}, new = {Target:{NodeID:2 StoreID:2} Epoch:1 Expiration:1777130845.417179882,0}
I260425 15:27:22.648476 1938 15@kv/kvserver/replica_raftstorage.go:572 ⋮ [T1,Vsystem,n3,s3,r6/2:/{System‹tse›-Table/0}] 23  applied snapshot 9f748a9b from (n1,s1):1 at applied index 15 as write (total=17ms data=695 B excise=true ingestion=5@17ms)
I260425 15:27:23.322446 1958 15@kv/kvserver/replica_raftstorage.go:572 ⋮ [T1,Vsystem,n3,s3,r22/2:/Table/1{8-9}] 24  applied snapshot fd9fd598 from (n1,s1):1 at applied index 15 as write (total=18ms data=656 B excise=true ingestion=5@18ms)
I260425 15:27:23.642680 1965 15@kv/kvserver/replica_raftstorage.go:572 ⋮ [T1,Vsystem,n3,s3,r26/2:/Table/2{2-3}] 25  applied snapshot 2f977abf from (n1,s1):1 at applied index 15 as write (total=18ms data=656 B excise=true ingestion=5@18ms)
I260425 15:27:24.235479 2132 15@kv/kvserver/replica_raftstorage.go:572 ⋮ [T1,Vsystem,n3,s3,r25/2:/Table/2{1-2}] 26  applied snapshot 85733089 from (n1,s1):1 at applied index 20 as write (total=31ms data=932 B excise=true ingestion=5@31ms)
I260425 15:27:24.765511 1948 15@kv/kvserver/replica_raftstorage.go:572 ⋮ [T1,Vsystem,n3,s3,r27/2:/Table/2{3-4}] 27  applied snapshot a1c2079a from (n1,s1):1 at applied index 18 as write (total=18ms data=887 B excise=true ingestion=5@18ms)
I260425 15:27:25.040396 2140 15@kv/kvserver/replica_raftstorage.go:572 ⋮ [T1,Vsystem,n3,s3,r15/2:/Table/1{1-2}] 28  applied snapshot 6e940659 from (n1,s1):1 at applied index 199 as write (total=18ms data=2.9 KiB excise=true ingestion=5@18ms)
I260425 15:27:25.863370 2144 15@kv/kvserver/replica_raftstorage.go:572 ⋮ [T1,Vsystem,n3,s3,r29/2:/Table/2{5-6}] 29  applied snapshot 9919e14d from (n1,s1):1 at applied index 15 as write (total=18ms data=655 B excise=true ingestion=5@18ms)
I260425 15:27:26.195500 2243 15@kv/kvserver/replica_raftstorage.go:572 ⋮ [T1,Vsystem,n3,s3,r35/2:/{NamespaceTab…-Table/32}] 30  applied snapshot 0c046f84 from (n1,s1):1 at applied index 15 as write (total=27ms data=656 B excise=true ingestion=5@27ms)
I260425 15:27:26.229431 931 15@kv/kvserver/storeliveness/supporter_state.go:319 ⋮ [T1,Vsystem,n3,s3] 31  provided support for store {NodeID:2 StoreID:2}; old = {Target:{NodeID:2 StoreID:2} Epoch:0 Expiration:0,0}, new = {Target:{NodeID:2 StoreID:2} Epoch:1 Expiration:1777130849.137126694,0}
I260425 15:27:26.464750 2153 15@kv/kvserver/replica_raftstorage.go:572 ⋮ [T1,Vsystem,n3,s3,r5/3:/System{/tsd-‹tse›}] 32  applied snapshot c7368f30 from (n2,s2):2 at applied index 33 (total=136ms data=1.4 MiB excise=true ingestion=6@107ms)
I260425 15:27:27.199398 2377 15@kv/kvserver/replica_raftstorage.go:572 ⋮ [T1,Vsystem,n3,s3,r33/2:/{Table/29-NamespaceTab…}] 33  applied snapshot 61475dfb from (n1,s1):1 at applied index 15 as write (total=26ms data=656 B excise=true ingestion=5@26ms)
I260425 15:27:27.447338 2272 15@kv/kvserver/replica_raftstorage.go:572 ⋮ [T1,Vsystem,n3,s3,r34/2:/NamespaceTable/{30-Max}] 34  applied snapshot 57533ee9 from (n1,s1):1 at applied index 23 as write (total=17ms data=2.9 KiB excise=true ingestion=5@17ms)
I260425 15:27:28.286413 2466 15@kv/kvserver/replica_raftstorage.go:572 ⋮ [T1,Vsystem,n3,s3,r10/3:/Table/{5-6}] 35  applied snapshot 90826872 from (n2,s2):2 at applied index 40 as write (total=40ms data=1.2 KiB excise=true ingestion=5@37ms)
I260425 15:27:28.408323 2345 15@kv/kvserver/replica_raftstorage.go:572 ⋮ [T1,Vsystem,n3,s3,r31/2:/Table/2{7-8}] 36  applied snapshot 245f2e60 from (n1,s1):1 at applied index 15 as write (total=26ms data=656 B excise=true ingestion=5@26ms)
I260425 15:27:28.941125 2454 15@kv/kvserver/replica_raftstorage.go:572 ⋮ [T1,Vsystem,n3,s3,r30/2:/Table/2{6-7}] 37  applied snapshot 10723e46 from (n1,s1):1 at applied index 15 as write (total=17ms data=656 B excise=true ingestion=5@16ms)
I260425 15:27:29.274189 2457 15@kv/kvserver/replica_raftstorage.go:572 ⋮ [T1,Vsystem,n3,s3,r28/3:/Table/2{4-5}] 38  applied snapshot 9935bea0 from (n2,s2):2 at applied index 25 as write (total=29ms data=806 B excise=true ingestion=5@26ms)
I260425 15:27:29.291412 2475 15@kv/kvserver/replica_raftstorage.go:572 ⋮ [T1,Vsystem,n3,s3,r37/2:/Table/3{3-4}] 39  applied snapshot e83de013 from (n1,s1):1 at applied index 15 as write (total=34ms data=656 B excise=true ingestion=5@33ms)
I260425 15:27:29.814259 2549 15@kv/kvserver/replica_raftstorage.go:572 ⋮ [T1,Vsystem,n3,s3,r47/2:/Table/4{3-4}] 40  applied snapshot 25c19c04 from (n1,s1):1 at applied index 15 as write (total=29ms data=656 B excise=true ingestion=5@29ms)
I260425 15:27:31.374360 2587 15@kv/kvserver/replica_raftstorage.go:572 ⋮ [T1,Vsystem,n3,s3,r53/2:/Table/5{0-1}] 41  applied snapshot cdf12b47 from (n1,s1):1 at applied index 15 as write (total=17ms data=656 B excise=true ingestion=5@17ms)
I260425 15:27:31.914383 2496 15@kv/kvserver/replica_raftstorage.go:572 ⋮ [T1,Vsystem,n3,s3,r52/2:/Table/{48-50}] 42  applied snapshot 1fd5a9ea from (n1,s1):1 at applied index 15 as write (total=16ms data=679 B excise=true ingestion=5@16ms)
I260425 15:27:32.235346 2709 15@kv/kvserver/replica_raftstorage.go:572 ⋮ [T1,Vsystem,n3,s3,r50/2:/Table/4{6-7}] 43  applied snapshot 1c4f9ae0 from (n1,s1):1 at applied index 18 as write (total=29ms data=1009 B excise=true ingestion=5@27ms)
I260425 15:27:32.284399 2712 15@kv/kvserver/replica_raftstorage.go:572 ⋮ [T1,Vsystem,n3,s3,r54/3:/Table/5{1-2}] 44  applied snapshot cd76b365 from (n2,s2):2 at applied index 24 as write (total=32ms data=1.0 KiB excise=true ingestion=5@32ms)
I260425 15:27:33.047397 2668 15@kv/kvserver/replica_raftstorage.go:572 ⋮ [T1,Vsystem,n3,s3,r41/2:/Table/3{7-8}] 45  applied snapshot cc187fe2 from (n1,s1):1 at applied index 25 as write (total=17ms data=1.2 KiB excise=true ingestion=5@17ms)
I260425 15:27:33.844402 2718 15@kv/kvserver/replica_raftstorage.go:572 ⋮ [T1,Vsystem,n3,s3,r46/2:/Table/4{2-3}] 46  applied snapshot 102e43f1 from (n1,s1):1 at applied index 15 as write (total=17ms data=656 B excise=true ingestion=5@17ms)
