I260425 15:27:17.714199 835 util/log/file_sync_buffer.go:237 ⋮ [config]   file created at: 2026/04/25 15:27:17
I260425 15:27:17.714206 835 util/log/file_sync_buffer.go:237 ⋮ [config]   running on machine: ‹ip-172-31-60-74›
I260425 15:27:17.714214 835 util/log/file_sync_buffer.go:237 ⋮ [config]   binary: CockroachDB CCL v26.3.0-alpha.00000000-dev (linux amd64, built , go1.26.2)
I260425 15:27:17.714219 835 util/log/file_sync_buffer.go:237 ⋮ [config]   arguments: [‹./cockroach› ‹start› ‹--insecure› ‹--listen-addr=localhost:26259› ‹--http-addr=localhost:8082› ‹--store=/mnt/crdb3› ‹--join=localhost:26257,localhost:26258,localhost:26259› ‹--log-dir=/home/ubuntu/cockroach/pkg/kv/kvserver/bench_tier_a/phase2_scenario1_results/run-20260425-141417/ssd-slow/logs/node3›]
I260425 15:27:17.714235 835 util/log/file_sync_buffer.go:237 ⋮ [config]   log format (utf8=✓): crdb-v2
I260425 15:27:17.714239 835 util/log/file_sync_buffer.go:237 ⋮ [config]   line format: [IWEF]yymmdd hh:mm:ss.uuuuuu goid [chan@]file:line redactionmark \[tags\] [counter] msg
I260425 15:27:17.714096 835 15@kv/kvserver/kvstorage/init.go:292 ⋮ [T1,Vsystem,n2,s2] 1  beginning range descriptor iteration
I260425 15:27:17.714336 835 15@kv/kvserver/kvstorage/init.go:419 ⋮ [T1,Vsystem,n2,s2] 2  range descriptor iteration done: 0 range descriptors, 0 intents, 0 tombstones; stats: ‹seeked 2 times (2 internal); stepped 0 times (0 internal)›
I260425 15:27:17.714364 835 15@kv/kvserver/kvstorage/init.go:604 ⋮ [T1,Vsystem,n2,s2] 3  loaded state for 0/0 replicas
I260425 15:27:17.714371 835 15@kv/kvserver/kvstorage/init.go:629 ⋮ [T1,Vsystem,n2,s2] 4  loaded 0 replicas
I260425 15:27:17.714376 835 15@kv/kvserver/kvstorage/init.go:666 ⋮ [T1,Vsystem,n2,s2] 5  verified 0/0 replicas
I260425 15:27:17.714382 835 15@kv/kvserver/store.go:2379 ⋮ [T1,Vsystem,n2,s2] 6  initialized 0/0 replicas
I260425 15:27:18.213698 962 15@kv/kvserver/storeliveness/supporter_state.go:319 ⋮ [T1,Vsystem,n2,s2] 7  provided support for store {NodeID:1 StoreID:1}; old = {Target:{NodeID:1 StoreID:1} Epoch:0 Expiration:0,0}, new = {Target:{NodeID:1 StoreID:1} Epoch:1 Expiration:1777130841.165449186,0}
